,name,works,prompt copy,,名前,作品,
1girl,carro pino,.live,"(1girl,carro pino,.live),",,カロ・ピノ,.live,
1girl,kagura suzu \(.live\),.live,"(1girl,kagura suzu \(.live\),.live),",,神楽すず \(.live\),.live,
1girl,kakyouin chieri,.live,"(1girl,kakyouin chieri,.live),",,花京院ちえり,.live,
1girl,kitakami futaba,.live,"(1girl,kitakami futaba,.live),",,北上双葉,.live,
1girl,mokota mememe,.live,"(1girl,mokota mememe,.live),",,もこためめめ,.live,
1girl,rurun rururica,.live,"(1girl,rurun rururica,.live),",,ルルルルリカ,.live,
1girl,yaezawa natori,.live,"(1girl,yaezawa natori,.live),",,八重沢なとり,.live,
1girl,yamato iori,.live,"(1girl,yamato iori,.live),",,ヤマトイオリ,.live,
1girl,yozakura tama,.live,"(1girl,yozakura tama,.live),",,夜桜たま,.live,
1boy,captain falcon,f-zero,"(1boy,captain falcon,f-zero),",,キャプテン・ファルコン,f-ゼロ,
1girl,allenby beardsley,g gundam,"(1girl,allenby beardsley,g gundam),",,アレンビー・ビアズリー,Gガンダム,
1girl,mc lita,kmnz,"(1girl,mc lita,kmnz),",,マック・リタ,kmnz,
1girl,mc liz,kmnz,"(1girl,mc liz,kmnz),",,MCリズ,kmnz,
1girl,beatrice \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,beatrice \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,ベアトリス \(リゼロ\),Re:ゼロから始める異世界生活,
1girl,crusch karsten,re:zero kara hajimeru isekai seikatsu,"(1girl,crusch karsten,re:zero kara hajimeru isekai seikatsu),",,クルシュ・カルステン,Re:ゼロから始める異世界生活,
1girl,echidna \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,echidna \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,エキドナ \(リゼロ\),Re:ゼロから始める異世界生活,
1girl,elsa granhilte,re:zero kara hajimeru isekai seikatsu,"(1girl,elsa granhilte,re:zero kara hajimeru isekai seikatsu),",,エルザ・グランヒルテ,Re:ゼロから始める異世界生活,
1girl,emilia \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,emilia \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,エミリア \(リゼロ\),Re:ゼロから始める異世界生活,
